Atlas Hands - Benjamin Francis Leftwich
Between the Bars - Elliott Smith
Heart it Races - Dr. Dog
Such Great Heights - Iron & Wine
Down by the Water - The Drums
We Found Each Other in the Dark - City and Colour
Bad Moon Rising - Creedence Clearwater Revival
Rave On - Buddy Holly
